LoincNumber,LongCommonName
81582-9,NM Thyroid gland Uptake
30695-1,NM Thyroid gland Views
43672-5,NM Thyroid gland Views and Views uptake
42271-7,NM Thyroid gland Views and Views uptake W I-123 IV
60527-9,NM Thyroid gland Views and Views uptake W I-123 PO
25008-4,NM Thyroid gland Views and Views uptake W I-131 IV
69236-8,NM Thyroid gland Views and Views uptake W I-131 PO
44147-7,NM Thyroid gland Views and Views uptake W Tc-99m pertechnetate IV
39856-0,NM Thyroid gland Views for blood flow
81581-1,NM Thyroid gland Views for dosimetry W radionuclide PO
81581-1,NM Thyroid gland Views for dosimetry W radionuclide PO
81580-3,NM Thyroid gland Views for therapy W I-131 PO
25007-6,NM Thyroid gland Views W I-131 IV
39757-0,NM Thyroid gland Views W Tc-99m IV
39756-2,NM Thyroid gland Views W Tc-99m Sestamibi IV
81587-8,NM Unspecified body region Limited Views for infection or inflammation
81600-9,NM Unspecified body region Limited Views for infection or inflammation W Tc-99m tagged WBC IV
81601-7,NM Unspecified body region Limited Views for thyroid tumor metastasis
81601-7,NM Unspecified body region Limited Views for thyroid tumor metastasis
39831-3,NM Unspecified body region Limited Views for tumor W Ga-67 IV
39687-9,NM Unspecified body region Limited Views W Ga-67 IV
49571-3,NM Unspecified body region Limited Views W I-131 MIBG IV
39843-8,NM Unspecified body region Limited Views W In-111 Satumomab IV
39935-2,NM Unspecified body region Multiple area Views W Ga-67 IV
39949-3,NM Unspecified body region Multiple area Views W In-111 Satumomab IV
49118-3,NM Unspecified body region Views
39685-3,NM Unspecified body region Views for abscess W Ga-67 IV
42776-5,NM Unspecified body region Views for AV shunt
43648-5,NM Unspecified body region Views for endocrine tumor multiple areas W I-131 MIBG IV
43649-3,NM Unspecified body region Views for endocrine tumor multiple areas W In-111 pentetreotide IV
39933-7,NM Unspecified body region Views for infection multiple areas W Ga-67 IV
39677-0,NM Unspecified body region Views for infection W Ga-67 IV
39934-5,NM Unspecified body region Views for tumor multiple areas W Ga-67 IV
39951-9,NM Unspecified body region Views for tumor multiple areas W Tc-99m Sestamibi IV
39679-6,NM Unspecified body region Views for tumor W Ga-67 IV
39750-5,NM Unspecified body region Views for tumor W Tc-99m Sestamibi IV
39688-7,NM Unspecified body region Views W Ga-67 IV
39841-2,NM Unspecified body region Views W I-131 MIBG IV
39846-1,NM Unspecified body region Views W In-111 Satumomab IV
81585-2,NM Unspecified body region Views W tagged WBC IV
81605-8,NM Ureter and Urinary bladder Views
25018-3,NM Urinary bladder Views
39626-7,NM Vein - bilateral Views
39954-3,NM Vein Views for thrombosis
39765-3,NM Vein Views W Tc-99m DTPA IV
39766-1,NM Vein Views W Tc-99m HDP IV
39764-6,NM Vein Views W Tc-99m SC IV
43501-6,NM Vessel Views
43500-8,NM Vessel Views for blood flow
81546-4,NM Views for blood flow and kidney function
81608-2,NM Views for blood flow and kidney function W ACE inhibitor PO
81603-3,NM Views for blood flow and kidney function W diuretic IV
81592-8,NM Views for transplanted kidney
39694-5,NM Views for transplanted liver
39882-6,NM Whole body Bone 3 Phase Views
39826-3,NM Whole body Bone marrow Views
39818-0,NM Whole body Bone Views
39875-0,NM Whole body Delayed Views W Ga-67 IV
39840-4,NM Whole body Delayed Views W I-131 MIBG IV
39842-0,NM Whole body Delayed Views W In-111 Satumomab IV
42175-0,NM Whole body Views
39827-1,NM Whole body Views for endocrine tumor W I-131 MIBG IV
39828-9,NM Whole body Views for endocrine tumor W In-111 pentetreotide IV
81589-4,NM Whole body Views for infection or inflammation
39830-5,NM Whole body Views for infection W Ga-67 IV
42170-1,NM Whole body Views for lymphoma
39686-1,NM Whole body Views for lymphoma W Ga-67 IV
81588-6,NM Whole body Views for thyroid tumor
81598-5,NM Whole body Views for thyroid tumor metastasis post therapy
42171-9,NM Whole body Views for tumor
39829-7,NM Whole body Views for tumor W Ga-67 IV
82136-3,NM Whole body Views for tumor W I-123 MIBG IV
39749-7,NM Whole body Views for tumor W Tc-99m Sestamibi IV
42305-3,NM Whole body Views for tumor W Tl-201 IV
39683-8,NM Whole body Views W Ga-67 IV
39698-6,NM Whole body Views W I-131 MIBG IV
39845-3,NM Whole body Views W In-111 Satumomab IV
42711-2,NM Whole body Views W In-111 tagged WBC IV
42708-8,NM Whole body Views W In-111 tiuxetan IV
81583-7,NM Whole body Views W Sm-153 IV
81584-5,NM Whole body Views W tagged WBC IV
39669-7,NM Whole body Views W Tc-99m Arcitumomab IV
81586-0,NM Whole body Views W Y-90 ibritumomab tiuxetan IV
81551-4,PET+CT Bone from skull base to mid-thigh W 18F-NaF IV
87907-2,PET+CT Brain for amyloidosis
86976-8,PET+CT Brain metabolic
89712-4,PET+CT Guidance for limited for localization of tumor of Unspecified body region-- W 18F-FDG IV and W contrast IV
87905-6,PET+CT Guidance for localization of tumor of Head and Neck-- W 18F-FDG IV
81554-8,PET+CT Guidance for localization of tumor of Skull base to mid-thigh-- W 18F-FDG IV
82809-5,PET+CT Guidance for localization of tumor of Skull base to mid-thigh-- W 18F-FDG IV and W contrast IV
82808-7,PET+CT Guidance for localization of tumor of Skull base to mid-thigh-- W 18F-FDG IV and WO contrast
87915-5,PET+CT Guidance for localization of tumor of Skull vertex to mid-thigh-- W 18F-FDG IV and W contrast IV
82807-9,PET+CT Guidance for localization of tumor of Skull vertex to mid-thigh-- W 18F-FDG IV and WO contrast
81555-5,PET+CT Guidance for localization of tumor of Whole body-- W 18F-FDG IV
82806-1,PET+CT Guidance for localization of tumor of Whole body-- W 18F-FDG IV and W contrast IV
82805-3,PET+CT Guidance for localization of tumor of Whole body-- W 18F-FDG IV and WO contrast
81553-0,PET+CT Guidance limited for localization of tumor of Unspecified body region-- W 18F-FDG IV
82800-4,PET+CT Heart W contrast IV
82801-2,PET+CT Heart WO contrast
81559-7,PET+CT Unspecified body region for simulation limited
81552-2,PET+CT Whole body Bone W 18F-NaF IV
37151-8,Portable RF Unspecified body region Views
36588-2,Portable XR Abdomen AP
24792-4,Portable XR Abdomen AP and AP left lateral-decubitus
24793-2,Portable XR Abdomen AP and Lateral
30763-7,Portable XR Abdomen AP and Lateral crosstable
24560-5,Portable XR Abdomen AP left lateral-decubitus
24564-7,Portable XR Abdomen AP upright
37076-7,Portable XR Abdomen Supine and Lateral-decubitus
24795-7,Portable XR Abdomen Supine and Upright
30764-5,Portable XR Acetabulum - bilateral Views
30765-2,Portable XR Acetabulum Views
41823-6,Portable XR Ankle - left Views
41782-4,Portable XR Ankle - right Views
44203-8,Portable XR Cervical and thoracic and lumbar spine Views
30727-2,Portable XR Cervical spine AP
30726-4,Portable XR Cervical spine AP and Lateral
37079-1,Portable XR Cervical spine AP and Lateral and Odontoid
44187-3,Portable XR Cervical spine AP and Oblique and Odontoid and (Lateral W flexion and W extension)
36991-8,Portable XR Cervical spine Lateral crosstable
30724-9,Portable XR Cervical spine Single view
37171-6,Portable XR Cervical spine Views
24654-6,Portable XR Chest AP and AP right lateral-decubitus
30735-5,Portable XR Chest AP lateral-decubitus
24636-3,Portable XR Chest AP left lateral-decubitus
24652-0,Portable XR Chest AP right lateral-decubitus
36589-0,Portable XR Chest AP single view
43778-0,Portable XR Chest AP supine
36960-3,Portable XR Chest AP upright
30738-9,Portable XR Chest Left lateral
24638-9,Portable XR Chest Left lateral upright
24641-3,Portable XR Chest Left oblique
30739-7,Portable XR Chest Oblique
30743-9,Portable XR Chest PA and Lateral and Right oblique and Left oblique
24644-7,Portable XR Chest PA and Lateral upright
24645-4,Portable XR Chest PA and Right lateral and Right oblique and Left oblique upright
24649-6,Portable XR Chest Right lateral-decubitus and Left lateral-decubitus
30733-0,Portable XR Chest Right oblique and Left oblique
30746-2,Portable XR Chest Views
24632-2,Portable XR Chest Views AP
24634-8,Portable XR Chest Views W inspiration and expiration
41827-7,Portable XR Elbow - left Views
41786-5,Portable XR Elbow - right Views
44184-0,Portable XR Elbow 2 Views
41773-3,Portable XR Facial bones Views
41818-6,Portable XR Femur - left Views
41778-2,Portable XR Femur - right Views
44185-7,Portable XR Femur AP and Lateral
44186-5,Portable XR Foot AP and Lateral
41829-3,Portable XR Hand - left Views
41788-1,Portable XR Hand - right Views
44182-4,Portable XR Hand 2 Views
44193-1,Portable XR Hand GE 3 Views
43570-1,Portable XR Hand Views
41817-8,Portable XR Hip - left AP and Lateral
37169-0,Portable XR Hip - left Views
41777-4,Portable XR Hip - right AP and Lateral
38796-9,Portable XR Hip - right Views
37077-5,Portable XR Hip AP and Lateral crosstable
44176-6,Portable XR Hip Single view
37168-2,Portable XR Hip Views
37075-9,Portable XR Hip Views AP
41825-1,Portable XR Humerus - left Views
41784-0,Portable XR Humerus - right Views
37170-8,Portable XR Humerus Views
41820-2,Portable XR Knee - left Views
41779-0,Portable XR Knee - right Views
44202-0,Portable XR Knee 1 or 2 Views
36674-0,Portable XR Lumbar spine 2 Views
30776-9,Portable XR Lumbar spine 3 Views
37078-3,Portable XR Lumbar spine AP and Lateral
36992-6,Portable XR Lumbar spine Lateral crosstable
30774-4,Portable XR Lumbar spine Single view
37172-4,Portable XR Lumbar spine Views
41774-1,Portable XR Neck Lateral
30792-6,Portable XR Patella Views
44201-2,Portable XR Pelvis 1 or 2 Views
41776-6,Portable XR Pelvis and Hip - right AP and Lateral frog
44192-3,Portable XR Pelvis GE 3 Views
41775-8,Portable XR Pelvis Single view
30772-8,Portable XR Pelvis Views
44183-2,Portable XR Radius and Ulna 2 Views
41831-9,Portable XR Ribs - left Views
41791-5,Portable XR Ribs - right Views
44239-2,Portable XR Ribs - unilateral GE 3 Views and Chest PA
30747-0,Portable XR Ribs Views
41824-4,Portable XR Shoulder - left Views
41783-2,Portable XR Shoulder - right Views
30749-6,Portable XR Shoulder Single view
46391-9,Portable XR Shoulder Views
30722-3,Portable XR Skull Single view
30723-1,Portable XR Skull Views
30729-8,Portable XR Spine Cervical Odontoid and Cervical axis AP
30755-3,Portable XR Thoracic spine AP
30754-6,Portable XR Thoracic spine AP and Lateral
30757-9,Portable XR Thoracic spine Lateral
30759-5,Portable XR Thoracic spine Oblique
70932-9,Portable XR Thoracic spine Single view
41828-5,Portable XR Wrist - left Views
41787-3,Portable XR Wrist - right Views
30730-6,Portable XR Zygomatic arch - bilateral Views
30731-4,Portable XR Zygomatic arch Views
44138-6,PT Brain
81577-9,PT Brain for amyloidosis
81578-7,PT Brain metabolic
57823-7,PT Esophagus
82126-4,PT Guidance for radiation treatment of Unspecified body region
58742-8,PT Head and Neck
44137-8,PT Heart
81564-7,PT Heart for sarcoidosis
81565-4,PT Heart for tissue viability
57822-9,PT Lung
81579-5,PT perfusion Brain
81568-8,PT perfusion Heart W multiple states of exercise
81569-6,PT perfusion Heart W single state of exercise
58741-0,PT Skull base to mid-thigh
44136-0,PT Unspecified body region
44139-4,PT Whole body
25068-8,RF 1 hour
25065-4,RF 15 minutes
43471-2,RF 2 hour
25066-2,RF 30 minutes
25067-0,RF 45 minutes
43472-0,RF 90 minutes
46341-4,RF Abdomen Views
37184-9,RF Ankle - bilateral Arthrogram
37185-6,RF Ankle - left Arthrogram
37942-0,RF Ankle - right Arthrogram
37183-1,RF Ankle Arthrogram
86373-8,RF AV fistula Views W contrast via additional puncture
86391-0,RF AV fistula Views W contrast via existing catheter
24574-6,RF Biliary ducts and Gallbladder Views during surgery W contrast biliary duct
24575-3,RF Biliary ducts and Gallbladder Views W contrast percutaneous transhepatic
30647-2,RF Biliary ducts and Gallbladder Views W contrast via T-tube
86382-9,RF Biliary ducts Limited Views during surgery
86383-7,RF Biliary ducts Views W contrast IV
86376-1,RF Biliary ducts Views W contrast via existing catheter
24620-7,RF Catheter Views for patency check W contrast via catheter
86398-5,RF Cerebral cisterns Views W contrast IT
86439-7,RF Cerebral sinuses Views W contrast IV
38125-1,RF Cervical and thoracic and lumbar spine Limited Views W contrast IT
30808-0,RF Cervical and thoracic and lumbar spine Views W contrast IT
42335-0,RF Cervical spine Limited Views W contrast IT
36640-1,RF Cervical spine Views
37192-2,RF Cervical spine Views W contrast intradisc
37192-2,RF Cervical spine Views W contrast intradisc
24947-4,RF Cervical spine Views W contrast IT
24655-3,RF Chest Image intensifier during surgery
24656-1,RF Chest Single view during surgery
30631-6,RF Chest Views
37199-7,RF Chest Views W contrast PO
41797-2,RF Colon Limited Views W air and barium contrast PR
86381-1,RF Colon Screening W air and barium contrast PR
24668-6,RF Colon Single view for transit Post solid contrast
44226-9,RF Colon Views for reduction W barium contrast PR
30636-5,RF Colon Views for reduction W contrast PR
24666-0,RF Colon Views W air and barium contrast PR
46357-0,RF Colon Views W air contrast PR
44227-7,RF Colon Views W barium contrast PR
24667-8,RF Colon Views W contrast PR
37567-5,RF Colon Views W contrast via colostomy
42681-7,RF Colon Views W gastrografin PR
24669-4,RF Colon Views W water soluble contrast PR
30632-4,RF Diaphragm for motion
37187-2,RF Elbow - bilateral Arthrogram
37188-0,RF Elbow - left Arthrogram
37947-9,RF Elbow - right Arthrogram
37186-4,RF Elbow Arthrogram
30633-2,RF Esophagus Views W barium contrast PO
24678-5,RF Esophagus Views W contrast PO
24679-3,RF Esophagus Views W gastrografin PO
86437-1,RF Fistula Diagnostic W contrast intra fistula
86384-5,RF Gallbladder Views W contrast and fatty meal PO
86385-2,RF Gallbladder Views W contrast PO
42470-5,RF Gastrointestinal tract upper and Gallbladder Single view W contrast PO
42469-7,RF Gastrointestinal tract upper and Small bowel and Gallbladder Single view W contrast PO
39144-1,RF Gastrointestinal tract upper Single view W air contrast PO
24715-5,RF Gastrointestinal tract upper Single view W contrast PO
86420-7,RF Gastrointestinal tract upper Views W air contrast PO and W barium contrast PO
86386-0,RF Gastrointestinal tract upper Views W barium contrast PO
42459-8,RF Gastrointestinal tract upper Views W contrast PO
42684-1,RF Gastrointestinal tract upper Views W gastrografin PO
42012-5,RF Gastrointestinal tract upper Views W water soluble contrast PO
86378-7,RF Gastrointestinal tract Views for fistula
42702-1,RF Greater than 1 hour
86377-9,RF Guidance for advancement of feeding tube of Gastrointestinal tract
86397-7,RF Guidance for aspiration and placement of suprapubic catheter of Urinary bladder
69306-9,RF Guidance for aspiration of cyst of Bone
69121-2,RF Guidance for aspiration of cyst of Ovary
24671-0,RF Guidance for aspiration of cyst of Unspecified body region
36761-5,RF Guidance for balloon dilatation of Biliary ducts-- W contrast
35890-3,RF Guidance for biopsy of Abdomen
75669-2,RF Guidance for biopsy of Bone marrow
41803-8,RF Guidance for biopsy of Breast
35894-5,RF Guidance for biopsy of Chest
69127-9,RF Guidance for biopsy of Chest Pleura
75750-0,RF Guidance for biopsy of Intervertebral disc
35899-4,RF Guidance for biopsy of Kidney
44225-1,RF Guidance for biopsy of Liver-- W contrast IV
30634-0,RF Guidance for biopsy of Lung
69226-9,RF Guidance for biopsy of Muscle
35902-6,RF Guidance for biopsy of Pancreas
69074-3,RF Guidance for biopsy of Pelvis
41802-0,RF Guidance for biopsy of Prostate
69075-0,RF Guidance for biopsy of Salivary gland
35907-5,RF Guidance for biopsy of Spleen
69129-5,RF Guidance for biopsy of Thyroid gland
25069-6,RF Guidance for biopsy of Unspecified body region
35889-5,RF Guidance for bronchoscopy of Chest
43558-6,RF Guidance for change of dialysis catheter in Unspecified body region-- W contrast IV
30646-4,RF Guidance for change of tube in Sinus tract-- W contrast
86438-9,RF Guidance for check of feeding tube of Gastrointestinal tract upper
69073-5,RF Guidance for core needle biopsy of Unspecified body region
44221-0,RF Guidance for deep aspiration.fine needle of Tissue
72539-0,RF Guidance for denervation of Peripheral nerve
72541-6,RF Guidance for denervation of Spine Cervical Facet Joint
72540-8,RF Guidance for denervation of Spine facet joint
72542-4,RF Guidance for denervation of Spine Lumbar Facet Joint
72543-2,RF Guidance for denervation of Thoracic spine intercostal nerve
24680-1,RF Guidance for dilation of Esophagus
88834-7,"RF Guidance for dilation of nephrostomy tract, ureter, or urethra"
39361-1,RF Guidance for drainage of abscess of Liver
69120-4,RF Guidance for drainage of abscess of Neck
69122-0,RF Guidance for drainage of abscess of Pancreas
69123-8,RF Guidance for drainage of abscess of Pleural space
75747-6,RF Guidance for drainage of abscess of Pleural space - bilateral
75751-8,RF Guidance for drainage of abscess of Pleural space - left
75817-7,RF Guidance for drainage of abscess of Pleural space - right
35885-3,RF Guidance for drainage of abscess of Unspecified body region
69078-4,RF Guidance for drainage of Chest
69133-7,RF Guidance for drainage of Hip
41800-4,RF Guidance for drainage of Pharynx
43537-0,RF Guidance for drainage of Unspecified body region
43478-7,RF Guidance for endoscopy of Biliary ducts and Pancreatic duct-- 1.5 hours post contrast retrograde intrabiliary
43474-6,RF Guidance for endoscopy of Biliary ducts and Pancreatic duct-- 15m post contrast retrograde intrabiliary
43477-9,RF Guidance for endoscopy of Biliary ducts and Pancreatic duct-- 1H post contrast retrograde intrabiliary
43473-8,RF Guidance for endoscopy of Biliary ducts and Pancreatic duct-- 2H post contrast retrograde intrabiliary
43475-3,RF Guidance for endoscopy of Biliary ducts and Pancreatic duct-- 30M post contrast retrograde intrabiliary
43476-1,RF Guidance for endoscopy of Biliary ducts and Pancreatic duct-- 45M post contrast retrograde intrabiliary
30815-5,RF Guidance for endoscopy of Biliary ducts and Pancreatic duct-- W contrast retrograde
44214-5,RF Guidance for endoscopy of Biliary ducts-- W contrast retrograde
44213-7,RF Guidance for endoscopy of Pancreatic duct-- W contrast retrograde
35925-7,RF Guidance for endoscopy of Stomach
24781-7,RF Guidance for exchange of nephrostomy tube of Kidney - bilateral-- W contrast
86405-8,RF Guidance for exchange of tube of Unspecified body region
44217-8,RF Guidance for fine needle aspiration of Kidney
44220-2,RF Guidance for fine needle aspiration of Liver
44218-6,RF Guidance for fine needle aspiration of Pancreas
44216-0,RF Guidance for fine needle aspiration of Thyroid gland
44215-2,RF Guidance for fine needle aspiration of Unspecified body region
35888-7,RF Guidance for fluid aspiration of Hip
75749-2,RF Guidance for fluid aspiration of Intervertebral disc
24771-8,RF Guidance for fluid aspiration of Joint space
37887-7,RF Guidance for fluid aspiration of Pleural space
24973-0,RF Guidance for fluid aspiration of Spine.lumbar space
86404-1,RF Guidance for fluid aspiration of Urinary bladder
35926-5,RF Guidance for gastrostomy of Stomach
70918-8,RF Guidance for injection of Cervical spine
30638-1,RF Guidance for injection of Hip
36771-4,RF Guidance for injection of Joint
70919-6,RF Guidance for injection of Lumbar spine
35927-3,RF Guidance for injection of Sacroiliac Joint
48435-2,RF Guidance for injection of Salivary gland - bilateral
46392-7,RF Guidance for injection of Sinuses
37427-2,RF Guidance for injection of Spine
30812-2,RF Guidance for injection of Spine Cervical Facet Joint
24931-8,RF Guidance for injection of Spine facet joint
26322-8,RF Guidance for injection of Spine facet joint - bilateral
26323-6,RF Guidance for injection of Spine facet joint - left
26324-4,RF Guidance for injection of Spine facet joint - right
30817-1,RF Guidance for injection of Spine Lumbar Facet Joint
30814-8,RF Guidance for injection of Spine Thoracic Facet Joint
37494-2,RF Guidance for injection of Tendon
70920-4,RF Guidance for injection of Thoracic spine
72552-3,RF Guidance for kyphoplasty of Lumbar spine
72553-1,RF Guidance for kyphoplasty of Thoracic spine
86425-6,RF Guidance for manometry of Kidney
86441-3,RF Guidance for manometry of Kidney and Ureter and Urinary bladder
39027-8,RF Guidance for needle localization of Unspecified body region
69076-8,RF guidance for percutaneous biopsy of Bone
35900-0,RF Guidance for percutaneous biopsy of Liver
72544-0,RF Guidance for percutaneous device removal of nephrostomy tube of Kidney - bilateral-- W contrast
69241-8,RF Guidance for percutaneous drainage of abscess of Abdomen
69242-6,RF Guidance for percutaneous drainage of abscess of Appendix
42422-6,RF Guidance for percutaneous drainage of abscess of Breast
42423-4,RF Guidance for percutaneous drainage of abscess of Chest
69243-4,RF Guidance for percutaneous drainage of abscess of Lung
44223-6,RF Guidance for percutaneous drainage of abscess of Ovary
69244-2,RF Guidance for percutaneous drainage of abscess of Pelvis
42421-8,RF Guidance for percutaneous drainage of abscess of Unspecified body region
46372-9,RF Guidance for percutaneous drainage of Biliary ducts
24621-5,RF Guidance for percutaneous drainage of Unspecified body region
24779-1,RF Guidance for percutaneous placement of nephrostomy tube of Kidney - bilateral-- W contrast via tube
24782-5,RF Guidance for percutaneous placement of nephroureteral stent of Kidney - bilateral-- W contrast via stent
42017-4,RF Guidance for percutaneous replacement of cholecystostomy of Abdomen
72545-7,RF Guidance for percutaneous replacement of drainage tube of Biliary ducts and Gallbladder
46294-5,RF Guidance for percutaneous replacement of drainage tube of Stomach
24996-1,RF Guidance for percutaneous replacement of gastrostomy of Stomach
70923-8,RF Guidance for percutaneous vertebroplasty of Cervical spine
70924-6,RF Guidance for percutaneous vertebroplasty of Lumbar spine
35936-4,RF Guidance for percutaneous vertebroplasty of Spine
70925-3,RF Guidance for percutaneous vertebroplasty of Thoracic spine
30892-4,RF Guidance for placement of catheter in Biliary ducts and Pancreatic duct-- W contrast retrograde
86403-3,RF Guidance for placement of catheter in Fallopian tube
64998-8,RF Guidance for placement of catheter in Fallopian tube - left-- transcervical
64999-6,RF Guidance for placement of catheter in Fallopian tube - right-- transcervical
30818-9,RF Guidance for placement of catheter in Fallopian tubes-- transcervical
62450-2,RF Guidance for placement of catheter in Peritoneum
35912-5,RF Guidance for placement of catheter in Unspecified body region
24716-3,RF Guidance for placement of decompression tube in Gastrointestinal tract
86413-2,RF Guidance for placement of long feeding tube in Gastrointestinal tract
86400-9,RF Guidance for placement of needle in Unspecified body region
25078-7,RF Guidance for placement of stent in Intrahepatic portal system
39362-9,RF Guidance for placement of tube in Chest
30637-3,RF Guidance for placement of tube in Gastrointestinal tract
41799-8,RF Guidance for placement of tube in Liver
24995-3,RF Guidance for placement of tube in Stomach
44224-4,RF Guidance for placement of tube in Unspecified body region
44222-8,RF Guidance for procedure of Joint space
30629-0,RF Guidance for procedure of Unspecified body region
24570-4,RF Guidance for removal of calculus from Biliary duct common-- W contrast retrograde intra biliary
30628-2,RF Guidance for removal of foreign body of Unspecified body region
72549-9,RF Guidance for removal of tunneled CV catheter from Vein
69124-6,RF Guidance for superficial aspiration.fine needle of Tissue
38154-1,RF Guidance for superficial biopsy of Bone
24718-9,RF Guidance for transjugular biopsy of Liver-- W contrast IV
86436-3,RF Guidance for treatment of Fistula-- W contrast intra fistula
72554-9,RF Guidance for trigger point injection of Muscle
86399-3,RF Guidance for Views and Guidance for injection of non-vascular shunt of Unspecified body region
86407-4,RF Guidance of Unspecified body region
26070-3,RF Hip - bilateral Arthrogram
26071-1,RF Hip - left Arthrogram
26072-9,RF Hip - right Arthrogram
24764-3,RF Hip Arthrogram
39047-6,RF Hip Single view during surgery
37585-7,RF Jejunum Views W contrast
37191-4,RF Joint Arthrogram
86393-6,RF Kidney - bilateral and Ureter - bilateral and Urinary bladder Views W contrast retrograde
88833-9,RF Kidney - bilateral and Ureter Views W contrast retrograde intra ureter
65799-9,RF Kidney - bilateral Single view for cyst
24783-3,RF Kidney - bilateral Views for urodynamics
46376-0,RF Kidney - bilateral Views W contrast antegrade
39349-6,RF Kidney - bilateral Views W contrast retrograde
24780-9,RF Kidney - bilateral Views W contrast via nephrostomy tube
88832-1,RF Kidney - left and Ureter Views W contrast retrograde intra ureter
65800-5,RF Kidney - left Single view for cyst
38872-8,RF Kidney - left Views W contrast via nephrostomy tube
88831-3,RF Kidney - right and Ureter Views W contrast retrograde intra ureter
65801-3,RF Kidney - right Single view for cyst
38112-9,RF Kidney - right Views W contrast via nephrostomy tube
86392-8,RF Kidney and Ureter and Urinary bladder Limited Views W contrast IV
86389-4,RF Kidney and Ureter and Urinary bladder Views during surgery W contrast retrograde
86380-3,RF Kidney and Ureter and Urinary bladder Views for fistula
86387-8,RF Kidney and Ureter and Urinary bladder Views W contrast antegrade
86372-0,RF Kidney and Ureter and Urinary bladder Views W contrast IV
86388-6,RF Kidney and Ureter and Urinary bladder Views W contrast retrograde
86390-2,RF Kidney and Ureter and Urinary bladder Views W contrast via nephrostomy tube
26073-7,RF Knee - bilateral Arthrogram
26074-5,RF Knee - left Arthrogram
26075-2,RF Knee - right Arthrogram
24800-5,RF Knee Arthrogram
38098-0,RF Lacrimal duct - bilateral Views W contrast intra lacrimal duct
38099-8,RF Lacrimal duct - left Views W contrast intra lacrimal duct
38827-2,RF Lacrimal duct - right Views W contrast intra lacrimal duct
30810-6,RF Lacrimal duct Views W contrast intra lacrimal duct
48465-9,RF Larynx Views
42703-9,RF Less than 1 hour
37193-0,RF Lumbar spine Views W contrast intradisc
37193-0,RF Lumbar spine Views W contrast intradisc
24974-8,RF Lumbar spine Views W contrast IT
24845-0,RF Neck Views W contrast intra larynx
38097-2,RF Parotid gland - left Views W contrast intra salivary duct
38826-4,RF Parotid gland - right Views W contrast intra salivary duct
38116-0,RF Parotid gland Views W contrast intra salivary duct
86408-2,RF Pelvis Views for urinary pouch
37586-5,RF Penis Views W contrast intra corpus cavernosum
86410-8,RF Pharynx and Cervical esophagus Views W barium contrast PO
24998-7,RF Placement check of gastrostomy tube W contrast via GI tube
24661-1,RF Pleural space Views W contrast intra pleural space
86411-6,RF Posterior fossa - bilateral Views W contrast IT
86430-6,RF Posterior fossa - unilateral Views W contrast IT
30811-4,RF Posterior fossa Views W contrast IT
24894-8,RF Rectum and Urinary bladder Views W contrast PR and intra bladder during defecation and voiding
24893-0,RF Rectum Single view post contrast PR during defecation
86409-0,RF Rectum Views for rectal dysfunction W barium contrast PR
37189-8,RF Sacroiliac joint - bilateral Arthrogram
37190-6,RF Sacroiliac joint - left Arthrogram
37785-3,RF Sacroiliac joint - right Arthrogram
37647-5,RF Sacroiliac Joint Arthrogram
26067-9,RF Salivary gland - bilateral Views W contrast intra salivary duct
26068-7,RF Salivary gland - left Views W contrast intra salivary duct
26069-5,RF Salivary gland - right Views W contrast intra salivary duct
24902-9,RF Salivary gland Views W contrast intra salivary duct
86440-5,RF Seminal vesicle Views W contrast intra seminal vesicle
26076-0,RF Shoulder - bilateral Arthrogram
26077-8,RF Shoulder - left Arthrogram
26078-6,RF Shoulder - right Arthrogram
24910-2,RF Shoulder Arthrogram
86402-5,RF Shoulder Arthrogram limited
24911-0,RF Shunt Views
24912-8,RF Sinus tract Views W contrast intra sinus tract
86379-5,RF Small bowel Views for loop diversion
24924-3,RF Small bowel Views W contrast PO
69272-3,RF Small bowel Views W contrast via ileostomy
24923-5,RF Small bowel Views W positive contrast via enteroclysis tube
38094-9,RF Spinal cavity Views W contrast
38103-8,RF Spine Cervical and Spine Lumbar Views W contrast IT
38104-6,RF Spine epidural space Views W contrast IT
24927-6,RF Spine Views W contrast intradisc
37572-5,RF Spine Views W contrast IT
37572-5,RF Spine Views W contrast IT
75670-0,RF Spine.lumbar epidural space Views W contrast epidural
75816-9,RF Spine.thoracic epidural space Views W contrast epidural
24552-2,RF Stent Views W contrast intra stent
48698-5,RF Submandibular gland - bilateral Views W contrast intra salivary duct
42460-6,RF Submandibular gland - left Views W contrast intra salivary duct
48696-9,RF Submandibular gland - right Views W contrast intra salivary duct
38153-3,RF Submandibular gland Views W contrast intra salivary duct
37409-0,RF Temporomandibular joint - bilateral Arthrogram
37410-8,RF Temporomandibular joint - left Arthrogram
37818-2,RF Temporomandibular joint - right Arthrogram
37901-6,RF Temporomandibular joint Arthrogram
37973-5,RF Testicular vessels Views W contrast
38120-2,RF Thoracic spine Limited Views W contrast IT
70933-7,RF Thoracic spine Views W contrast intradisc
24985-4,RF Thoracic spine Views W contrast IT
48464-2,RF Trachea Views
43788-9,RF Tube Views for patency W contrast via tube
86406-6,RF Unspecified body region Less than 1 hour Views during surgery
30642-3,RF Unspecified body region Single view
49512-7,RF Unspecified body region Views
25070-4,RF Unspecified body region Views during surgery
24631-4,RF Unspecified body region Views for central venous catheter placement check
37063-5,RF Unspecified body region Views for foreign body
30650-6,RF Unspecified body region Views for shunt
