LoincNumber,LongCommonName
89952-6,CT Guidance for fluid aspiration of Sacroiliac joint - right
89954-2,CT Guidance for fluid aspiration of Shoulder - left
89953-4,CT Guidance for fluid aspiration of Shoulder - right
25043-1,CT Guidance for fluid aspiration of Unspecified body region
44106-3,CT Guidance for FNA of Prostate
89709-0,CT Guidance for greater than 2 levels for injection of Spine facet joint
89699-3,CT Guidance for injection of Ankle - left
89698-5,CT Guidance for injection of Ankle - right
37493-4,CT Guidance for injection of Cervical spine Intervertebral disc
87916-3,CT Guidance for injection of cyst of Unspecified body region
90307-0,CT Guidance for injection of Foot joint - right
89701-7,CT Guidance for injection of Hip - left
89700-9,CT Guidance for injection of Hip - right
24769-2,CT Guidance for injection of Joint space
89706-6,CT Guidance for injection of Knee - bilateral
89708-2,CT Guidance for injection of Knee - left
89707-4,CT Guidance for injection of Knee - right
90336-9,CT Guidance for injection of Muscle
24901-1,CT Guidance for injection of Sacroiliac Joint
26319-4,CT Guidance for injection of Sacroiliac joint - bilateral
26320-2,CT Guidance for injection of Sacroiliac joint - left
26321-0,CT Guidance for injection of Sacroiliac joint - right
89702-5,CT Guidance for injection of Shoulder - bilateral
89703-3,CT Guidance for injection of Shoulder - left
89704-1,CT Guidance for injection of Shoulder - right
30579-7,CT Guidance for injection of Spine facet joint
90335-1,CT Guidance for injection of Spine Lumbar Facet Joint
90334-4,CT Guidance for injection of Spine Thoracic Facet Joint
90372-4,CT Guidance for injection of Tendon
90373-2,CT Guidance for injection of Tendon or ligament
89705-8,CT Guidance for injection of Wrist - left
35928-1,CT Guidance for localization of Breast - left
35929-9,CT Guidance for localization of Breast - right
42701-3,CT Guidance for localization of placenta of Uterus
44110-5,CT Guidance for needle localization of Breast
44118-8,CT Guidance for needle localization of Breast-- WO and W contrast IV
42021-6,CT Guidance for needle localization of Cervical spine
42020-8,CT Guidance for needle localization of Lumbar spine
90308-8,CT Guidance for needle localization of Thoracic spine
39026-0,CT Guidance for needle localization of Unspecified body region
35930-7,CT Guidance for nerve block of Abdomen
24623-1,CT Guidance for nerve block of Celiac plexus
70921-2,CT Guidance for nerve block of Cervical spine
35932-3,CT Guidance for nerve block of Lumbar spine
35931-5,CT Guidance for nerve block of Pelvis
42688-2,CT Guidance for nerve block of Spine
70922-0,CT Guidance for nerve block of Thoracic spine
35891-1,CT guidance for percutaneous biopsy of Bone
36768-0,CT Guidance for percutaneous biopsy of Muscle
43444-9,CT Guidance for percutaneous drainage of abscess of Unspecified body region
52790-3,CT Guidance for percutaneous replacement of drainage tube of Abdomen
52791-1,CT Guidance for percutaneous replacement of drainage tube of Pelvis
90311-2,CT Guidance for percutaneous replacement of drainage tube of Unspecified body region
35934-9,CT Guidance for percutaneous vertebroplasty of Lumbar spine
35933-1,CT Guidance for percutaneous vertebroplasty of Spine
35935-6,CT Guidance for percutaneous vertebroplasty of Thoracic spine
89610-0,CT Guidance for placement of catheter in Peritoneal space
36772-2,CT Guidance for placement of nephrostomy tube in Kidney
35937-2,CT Guidance for placement of radiation therapy fields in Unspecified body region
35938-0,CT Guidance for placement of tube in Chest
44102-2,CT Guidance for procedure of Joint space
79072-5,CT Guidance for radiation treatment of Unspecified body region
79072-5,CT Guidance for radiation treatment of Unspecified body region
79072-5,CT Guidance for radiation treatment of Unspecified body region
30581-3,CT Guidance for radiation treatment of Unspecified body region-- W contrast IV
30582-1,CT Guidance for radiation treatment of Unspecified body region-- WO contrast
89930-2,CT Guidance for radiofrequency ablation of Bone
89962-5,CT Guidance for radiofrequency ablation of Lung
25053-0,CT Guidance for radiosurgery of Unspecified body region
25054-8,CT Guidance for radiosurgery of Unspecified body region-- W contrast IV
36928-0,CT Guidance for stereotactic biopsy of Head
24585-2,CT Guidance for stereotactic biopsy of Head-- W contrast IV
36929-8,CT Guidance for stereotactic biopsy of Head-- WO contrast
88321-5,CT Guidance for stereotactic localization of Unspecified body region
89718-1,CT Guidance for stereotactic localization of Unspecified body region-- W contrast IV
89717-3,CT Guidance for stereotactic localization of Unspecified body region-- WO and W contrast IV
89856-9,CT Guidance for stereotactic localization of Unspecified body region-- WO contrast
42265-9,CT Guidance for superficial biopsy of Bone
89828-8,CT Guidance for superficial biopsy of Muscle
90316-1,CT Guidance for superficial biopsy of Soft tissue
37214-4,CT Guidance for superficial biopsy of Tissue
89859-3,CT Guidance for transrectal drainage of abscess of Pelvis
36002-4,CT Hand
36004-0,CT Hand - bilateral
86968-5,CT Hand - bilateral W contrast IV
36005-7,CT Hand - left
36193-1,CT Hand - left W contrast IV
36353-1,CT Hand - left WO and W contrast IV
36478-6,CT Hand - left WO contrast
36007-3,CT Hand - right
36195-6,CT Hand - right W contrast IV
36355-6,CT Hand - right WO and W contrast IV
36480-2,CT Hand - right WO contrast
36191-5,CT Hand W contrast IV
36352-3,CT Hand WO and W contrast IV
36477-8,CT Hand WO contrast
24725-4,CT Head
82690-9,CT Head and Cervical spine WO contrast
90352-6,CT Head and CT Brain for perfusion and CT angiogram Head vessels WO and W contrast IV
83307-9,CT Head and Mandible WO contrast
86991-7,CT Head and Maxillofacial region and Cervical spine WO contrast
87908-0,CT Head and Maxillofacial region W contrast IV
87911-4,CT Head and Maxillofacial region WO and W contrast IV
83306-1,CT Head and Maxillofacial region WO contrast
82691-7,CT Head and Neck W contrast IV
86972-7,CT Head and Neck WO and W contrast IV
82692-5,CT Head and Neck WO contrast
86989-1,CT Head and Orbit - bilateral W contrast IV
89845-2,CT Head and Orbit - bilateral WO and W contrast IV
86990-9,CT Head and Orbit - bilateral WO contrast
87897-5,CT Head and Pituitary and Sella turcica W contrast IV
86978-4,CT Head and Sinuses W contrast IV
87910-6,CT Head and Sinuses WO and W contrast IV
86992-5,CT Head and Sinuses WO contrast
86977-6,CT Head and Temporal bone W contrast IV
89844-5,CT Head and Temporal bone WO and W contrast IV
83302-0,CT Head and Temporal bone WO contrast
36087-5,CT Head limited
36104-8,CT Head limited WO contrast
24727-0,CT Head W contrast IV
88327-2,CT Head W contrast IV and CT angiogram Head and neck vessels W contrast IV
83296-4,CT Head W contrast IV and CT Orbit - bilateral WO and W contrast IV
46328-1,CT Head W reduced contrast volume IV
24726-2,CT Head WO and W contrast IV
82804-6,CT Head WO and W contrast IV and CT Neck W contrast IV
82742-8,CT Head WO and W contrast IV and CT Orbit - bilateral W contrast IV
82802-0,CT Head WO and W contrast IV and CT Sinuses W contrast IV
82803-8,CT Head WO and W contrast IV and CT Temporal bone W contrast IV
46316-6,CT Head WO and W reduced contrast volume IV
30799-1,CT Head WO contrast
88315-7,CT Head WO contrast and CT Brain for perfusion W contrast IV and CT angiogram Head and neck vessels W contrast IV
88326-4,CT Head WO contrast and CT Brain for perfusion W contrast IV and CT angiogram Head vessels W contrast IV
58744-4,CT Heart
89927-8,CT Heart and aortic root WO contrast for calcium scoring + CTA W contrast IV
79087-3,CT Heart and Coronary arteries for calcium scoring WO contrast
36934-8,CT Heart for calcium scoring
36935-5,CT Heart for calcium scoring W contrast IV
79088-1,CT Heart for congenital disease W contrast IV
86975-0,CT Heart for left ventricular function W contrast IV
79089-9,CT Heart W contrast IV
86956-0,CT Heart WO contrast IV and CT Heart for left ventricular function W contrast IV
77466-1,CT Hindfoot - left and Midfoot - left W contrast IV
77468-7,CT Hindfoot - left and Midfoot - left WO and W contrast IV
77470-3,CT Hindfoot - left and Midfoot - left WO contrast
77467-9,CT Hindfoot - right and Midfoot - right W contrast IV
77469-5,CT Hindfoot - right and Midfoot - right WO and W contrast IV
77471-1,CT Hindfoot - right and Midfoot - right WO contrast
77448-9,CT Hindfoot and Midfoot
77456-2,CT Hindfoot and Midfoot W contrast IV
77457-0,CT Hindfoot and Midfoot WO and W contrast IV
77458-8,CT Hindfoot and Midfoot WO contrast
36014-9,CT Hip
36016-4,CT Hip - bilateral
36201-2,CT Hip - bilateral W contrast IV
36360-6,CT Hip - bilateral WO and W contrast IV
36485-1,CT Hip - bilateral WO contrast
36018-0,CT Hip - left
69105-5,CT Hip - left Arthrogram
36203-8,CT Hip - left W contrast IV
36362-2,CT Hip - left WO and W contrast IV
36487-7,CT Hip - left WO contrast
36021-4,CT Hip - right
69112-1,CT Hip - right Arthrogram
36205-3,CT Hip - right W contrast IV
36364-8,CT Hip - right WO and W contrast IV
36489-3,CT Hip - right WO contrast
36092-5,CT Hip limited
36200-4,CT Hip W contrast IV
36359-8,CT Hip WO and W contrast IV
36484-4,CT Hip WO contrast
35958-8,CT Internal auditory canal
35957-0,CT Internal auditory canal - left
38767-0,CT Internal auditory canal - right
30583-9,CT Internal auditory canal W contrast IV
46325-7,CT Internal auditory canal W reduced contrast volume IV
36282-2,CT Internal auditory canal WO and W contrast IV
46314-1,CT Internal auditory canal WO and W reduced contrast volume IV
30584-7,CT Internal auditory canal WO contrast
36811-8,CT Joint Arthrogram
43767-3,CT Kidney - bilateral
43766-5,CT Kidney - bilateral W contrast IV
36377-0,CT Kidney - bilateral WO and W contrast IV
36503-1,CT Kidney - bilateral WO contrast
69113-9,CT Kidney - right
79074-1,CT Kidney and Ureter and Urinary bladder 3D post processing WO and W contrast IV
87866-0,CT Kidney and Ureter and Urinary bladder WO and W contrast IV
46322-4,CT Kidney W contrast IV
43768-1,CT Kidney WO and W contrast IV
43770-7,CT Kidney WO contrast
36037-0,CT Knee
36040-4,CT Knee - bilateral
87878-5,CT Knee - bilateral Arthrogram
69088-3,CT Knee - bilateral W contrast IV
69089-1,CT Knee - bilateral WO contrast
36041-2,CT Knee - left
69106-3,CT Knee - left Arthrogram
36225-1,CT Knee - left W contrast IV
36380-4,CT Knee - left WO and W contrast IV
36507-2,CT Knee - left WO contrast
36043-8,CT Knee - right
69114-7,CT Knee - right Arthrogram
36227-7,CT Knee - right W contrast IV
36381-2,CT Knee - right WO and W contrast IV
36509-8,CT Knee - right WO contrast
36124-6,CT Knee Arthrogram
36222-8,CT Knee W contrast IV
36379-6,CT Knee WO and W contrast IV
36505-6,CT Knee WO contrast
36229-3,CT Larynx W contrast IV
36511-4,CT Larynx WO contrast
24814-6,CT Liver
24815-3,CT Liver W contrast IV
46393-5,CT Liver W Xe-133 IH
