         3094082 function calls (3033718 primitive calls) in 4.473 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    15186    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      138    0.002    0.000    0.003    0.000 __init__.py:1589(_register)
    11455    0.002    0.000    0.030    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
     1997    0.002    0.000    0.015    0.000 inspect.py:951(getsourcefile)
      929    0.002    0.000    0.003    0.000 {method 'sub' of 're.Pattern' objects}
     1909    0.002    0.000    0.009    0.000 typing_extensions.py:3029(_collect_parameters)
    10693    0.002    0.000    0.002    0.000 {method 'pop' of 'dict' objects}
     7246    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:645(parent)
    12724    0.002    0.000    0.004    0.000 _parser.py:176(append)
      113    0.002    0.000    0.042    0.000 autograd.py:23(make_autograd_impl)
    15081    0.002    0.000    0.002    0.000 {method '__exit__' of '_thread.RLock' objects}
    12939    0.002    0.000    0.011    0.000 conflict.py:43(edge)
      843    0.002    0.000    0.031    0.000 __init__.py:35(_add_op_to_registry)
       37    0.002    0.000    0.002    0.000 {method 'readlines' of '_io._IOBase' objects}
     2673    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
     2780    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
      244    0.002    0.000    0.009    0.000 traceback.py:399(_extract_from_extended_frame_gen)
     3232    0.002    0.000    0.002    0.000 {method 'format' of 'str' objects}
    13254    0.002    0.000    0.003    0.000 conflict.py:15(<genexpr>)
     2775    0.002    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
      377    0.002    0.000    0.033    0.000 dataclasses.py:568(_init_fn)
     1067    0.002    0.000    0.030    0.000 _ops.py:1152(__getattr__)
     5041    0.002    0.000    0.003    0.000 tag.py:42(Tag)
     6959    0.002    0.000    0.002    0.000 {method 'update' of 'dict' objects}
    11083    0.002    0.000    0.002    0.000 {built-in method builtins.min}
     7609    0.002    0.000    0.002    0.000 {method 'split' of 'str' objects}
    10692    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      600    0.002    0.000    0.003    0.000 registration.py:214(register)
     1496    0.002    0.000    0.021    0.000 presentation.py:259(add_transfer_syntax)
     4936    0.002    0.000    0.004    0.000 <frozen posixpath>:60(isabs)
     5919    0.002    0.000    0.004    0.000 enum.py:726(__call__)
     5039    0.002    0.000    0.007    0.000 datadict.py:244(get_entry)
     2673    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
     2595    0.002    0.000    0.012    0.000 typing.py:1174(__init__)
   629/50    0.002    0.000    0.009    0.000 serialisable.py:46(from_tree)
     7539    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:173(__exit__)
    17995    0.002    0.000    0.002    0.000 {built-in method builtins.issubclass}
      164    0.002    0.000    0.004    0.000 facts.py:599(deduce_all_facts)
     4342    0.002    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
     1909    0.002    0.000    0.003    0.000 typing_extensions.py:2954(_has_generic_or_protocol_as_origin)
     2043    0.002    0.000    0.004    0.000 base.py:35(__init__)
     2967    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:232(__init__)
     1712    0.002    0.000    0.004    0.000 dataclasses.py:701(_is_type)
     2967    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:445(cb)
     3022    0.002    0.000    0.030    0.000 <frozen importlib._bootstrap>:416(__enter__)
    13024    0.002    0.000    0.002    0.000 _parser.py:256(match)
     1935    0.002    0.000    0.003    0.000 inspect.py:754(unwrap)
      132    0.002    0.000    0.002    0.000 function.py:328(__init__)
     1248    0.002    0.000    0.005    0.000 typing.py:345(_remove_dups_flatten)
       89    0.002    0.000    0.015    0.000 conflict.py:56(ordering)
    10425    0.002    0.000    0.002    0.000 {method 'pop' of 'list' objects}
     2394    0.002    0.000    0.002    0.000 base.py:19(__init__)
    18499    0.002    0.000    0.002    0.000 {built-in method _stat.S_ISLNK}
    15139    0.002    0.000    0.002    0.000 {built-in method _thread.get_ident}
      462    0.002    0.000    0.003    0.000 _mac_detect.py:47(n)
     3994    0.002    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        2    0.001    0.001    0.001    0.001 {method 'decode' of 'ImagingDecoder' objects}
       60    0.001    0.000    0.008    0.000 typing.py:2809(__new__)
     7548    0.001    0.000    0.003    0.000 __init__.py:447(_make)
      333    0.001    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:1644(_fill_cache)
     6381    0.001    0.000    0.001    0.000 {method 'rfind' of 'str' objects}
     7673    0.001    0.000    0.001    0.000 {method 'remove' of 'list' objects}
     2162    0.001    0.000    0.002    0.000 enum.py:850(__setattr__)
2674/2671    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
     5039    0.001    0.000    0.002    0.000 tag.py:176(__eq__)
       52    0.001    0.000    0.002    0.000 __init__.py:1465(_clear_cache)
        4    0.001    0.000    0.007    0.002 _config_module.py:74(get_assignments_with_compile_ignored_comments)
     2975    0.001    0.000    0.102    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
       21    0.001    0.000    0.003    0.000 enum.py:1708(convert_class)
     3330    0.001    0.000    0.006    0.000 <frozen posixpath>:408(abspath)
     2846    0.001    0.000    0.002    0.000 base.py:39(__set__)
      148    0.001    0.000    0.003    0.000 __init__.py:347(__new__)
     9417    0.001    0.000    0.002    0.000 typing.py:1279(__eq__)
     8624    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
     3342    0.001    0.000    0.001    0.000 {built-in method posix._path_normpath}
     2692    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:48(_new_module)
     8774    0.001    0.000    0.002    0.000 _parser.py:164(__len__)
       33    0.001    0.000    0.004    0.000 doccer.py:13(docformat)
     4441    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
     5448    0.001    0.000    0.018    0.000 <frozen importlib._bootstrap>:632(cached)
     2650    0.001    0.000    0.001    0.000 enum.py:785(__delattr__)
     3790    0.001    0.000    0.001    0.000 functools.py:65(wraps)
     2979    0.001    0.000    0.001    0.000 {built-in method _imp.is_builtin}
     2979    0.001    0.000    0.002    0.000 __init__.py:102(find_spec)
     7878    0.001    0.000    0.002    0.000 inspect.py:961(<genexpr>)
     6032    0.001    0.000    0.011    0.000 conflict.py:19(ambiguous)
      694    0.001    0.000    0.014    0.000 typing.py:1476(__getitem__)
     2085    0.001    0.000    0.002    0.000 typing.py:1205(__getattr__)
        1    0.001    0.001    0.002    0.002 mimetypes.py:218(readfp)
        1    0.001    0.001    0.001    0.001 {method 'resize' of 'ImagingCore' objects}
